#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
SLC5A6	SLC5A6	2	31.28	47.94	49.91
SLC5A9	SLC5A9	2	69.36	74.77	176.61
SLC6A1	SLC6A1	2	1338.46	1417.48	1547.18
SLC6A11	SLC6A11	7	2434.15	2237.07	1296.94
SLC6A12	SLC6A12	4	170.81	101.83	57.92
SLC6A14	SLC6A14	1	427.96	449.05	499.05
SLC6A16	SLC6A16	1	15.04	8.07	20.0
SLC6A20	SLC6A20	2	81.69	86.64	10.19
SLC6A6	SLC6A6	7	438.55	677.59	1084.55
SLC6A8	SLC6A8	2	37.04	44.06	50.82
SLC7A11	SLC7A11	2	159.14	265.41	301.73
SLC7A2	SLC7A2	8	30541.0	29233.85	11864.48
SLC7A3	SLC7A3	1	15.01	11.93	10.62
SLC7A4	SLC7A4	1	37.6	34.61	41.21
SLC7A5	SLC7A5	1	3.85	3.99	14.49
SLC7A6	SLC7A6	1	33.02	29.41	40.49
SLC7A6OS	SLC7A6OS	2	162.73	152.38	146.47
SLC7A7	SLC7A7	2	23.5	32.03	26.04
SLC7A8	SLC7A8	1	35.69	22.39	25.67
SLC8A1	SLC8A1	3	151.9	105.39	72.06
SLC8B1	SLC8B1	1	149.39	132.46	86.27
SLC9A1	SLC9A1	1	27.23	31.58	23.41
SLC9A3R1	SLC9A3R1	2	424.29	329.65	477.97
SLC9A3R2	SLC9A3R2	2	419.19	357.18	381.44
SLC9A6	SLC9A6	1	62.43	62.92	60.78
SLC9A7	SLC9A7	2	158.01	165.73	151.53
SLC9A8	SLC9A8	4	210.58	189.07	238.29
SLC9A9	SLC9A9	3	52.46	62.06	37.67
SLC9C1	SLC9C1	1	31.26	17.3	39.15
SLCO1A2	SLCO1A2	16	2267.52	2177.81	804.37
SLCO1B3	SLCO1B3	11	16311.06	17543.43	19111.3
SLCO1C1	SLCO1C1	1	13.29	9.86	17.32
SLCO2B1	SLCO2B1	10	2722.15	2308.3	2697.9
SLF1	SLF1	1	32.85	30.01	36.96
SLF2	SLF2	4	504.43	535.98	433.12
SLIRP	SLIRP	1	125.05	153.98	136.33
SLIT2	SLIT2	3	109.05	103.03	43.45
SLIT3	SLIT3	1	75.42	53.74	51.46
SLITRK4	SLITRK4	2	154.37	169.36	138.26
SLK	SLK	3	854.83	969.0	915.45
SLMAP	SLMAP	9	427.08	447.48	408.04
SLTM	SLTM	5	668.83	759.91	820.19
SLU7	SLU7	1	414.78	470.6	423.24
SLX1A	SLX1A	1	89.77	84.6	60.48
SLX4	SLX4	2	48.55	44.15	64.12
SLX4IP	SLX4IP	3	106.79	95.05	101.6
SMAD1	SMAD1	5	350.12	327.19	360.19
SMAD2	SMAD2	4	516.09	520.44	428.74
SMAD3	SMAD3	5	191.21	193.76	226.99
SMAD4	SMAD4	7	614.05	512.58	604.49
SMAD5	SMAD5	3	565.82	671.77	838.94
SMAD6	SMAD6	1	56.64	52.49	40.9
SMAD7	SMAD7	1	39.5	41.65	76.13
SMAD9	SMAD9	1	14.3	11.85	14.31
SMAGP	SMAGP	3	254.86	278.43	245.72
SMAP1	SMAP1	3	208.72	202.89	164.64
SMAP2	SMAP2	2	186.27	177.69	141.5
SMARCA1	SMARCA1	6	360.13	490.18	1164.15
SMARCA2	SMARCA2	12	2183.86	2153.37	1798.53
SMARCA4	SMARCA4	7	274.54	267.73	348.46
SMARCA5	SMARCA5	6	905.84	1102.02	843.15
SMARCAD1	SMARCAD1	2	32.03	55.95	63.28
SMARCAL1	SMARCAL1	3	50.28	41.11	73.96
SMARCB1	SMARCB1	2	141.1	123.31	115.81
SMARCC1	SMARCC1	2	719.36	739.63	792.56
SMARCC2	SMARCC2	4	479.1	451.98	382.47
SMARCD1	SMARCD1	2	79.45	68.7	103.92
SMARCD2	SMARCD2	1	467.56	486.09	259.73
SMARCE1	SMARCE1	5	240.58	258.1	297.63
SMC1A	SMC1A	7	924.25	895.39	1158.16
SMC2	SMC2	1	89.25	92.35	100.59
SMC3	SMC3	4	445.13	489.04	550.72
SMC4	SMC4	4	192.0	205.32	195.04
SMC5	SMC5	6	375.51	402.09	330.59
SMC6	SMC6	4	189.54	207.05	196.86
SMCHD1	SMCHD1	4	428.1	507.73	478.34
SMCR8	SMCR8	1	210.29	180.4	175.74
SMDT1	SMDT1	2	98.47	88.86	99.84
SMG1	SMG1	5	3658.73	3246.25	2791.87
SMG5	SMG5	2	169.19	143.92	147.39
SMG6	SMG6	3	266.67	221.12	215.03
SMG7	SMG7	7	292.52	267.99	274.94
SMG8	SMG8	2	81.24	101.48	101.02
SMG9	SMG9	3	131.5	100.62	107.78
SMIM1	SMIM1	4	562.99	525.66	427.5
SMIM10L1	SMIM10L1	1	176.45	195.4	308.0
SMIM11A	SMIM11A	2	99.98	103.61	90.21
SMIM12	SMIM12	2	149.88	145.29	199.93
SMIM13	SMIM13	1	157.48	212.03	158.14
SMIM14	SMIM14	9	1923.57	2552.66	2292.94
SMIM15	SMIM15	4	128.16	137.05	177.35
SMIM19	SMIM19	6	308.58	353.33	438.81
SMIM20	SMIM20	6	303.86	323.96	363.98
SMIM24	SMIM24	1	38.04	34.7	14.85
SMIM26	SMIM26	1	45.08	60.92	40.61
SMIM27	SMIM27	1	49.33	53.16	59.72
SMIM30	SMIM30	1	79.86	94.38	112.48
SMIM33	SMIM33	1	14.84	13.18	14.95
SMIM4	SMIM4	2	145.88	161.62	98.67
SMIM7	SMIM7	5	372.84	382.14	358.3
SMIM8_CUNH6orf163	SMIM8_CUNH6orf163	2	76.3	81.13	85.83
SMLR1	SMLR1	3	389.24	363.5	133.72
SMNDC1	SMNDC1	3	84.17	91.17	111.57
SMO	SMO	2	189.5	173.77	164.83
SMOC1	SMOC1	4	327.56	268.77	493.91
SMPD1	SMPD1	2	166.25	141.79	91.32
SMPD2	SMPD2	1	63.21	53.26	30.07
SMPD4	SMPD4	2	35.99	32.67	44.73
SMPDL3A	SMPDL3A	1	19.46	13.55	16.2
SMPX	SMPX	1	17.55	11.44	22.72
SMS	SMS	1	266.38	350.07	283.53
SMTN	SMTN	3	123.09	103.62	92.24
SMTNL2	SMTNL2	1	16.15	8.46	6.85
SMU1	SMU1	6	330.04	339.16	368.08
SMUG1	SMUG1	8	356.16	340.66	397.89
SMURF1	SMURF1	5	311.38	345.64	467.63
SMURF2	SMURF2	2	205.83	193.85	226.77
SMYD1	SMYD1	2	34.29	37.51	54.12
SMYD2	SMYD2	5	672.03	534.1	188.85
SMYD3	SMYD3	1	68.21	74.26	88.4
SMYD4	SMYD4	2	199.07	175.11	169.34
SMYD5	SMYD5	2	35.9	36.92	77.03
SNAI1_RNF114	SNAI1_RNF114	2	100.79	69.9	94.45
SNAI2	SNAI2	1	30.49	21.41	22.02
