#Gene	Name/Description	Isoforms	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
RPS6KA5	RPS6KA5	1	38.53	37.35	62.73
RPS6KB1	RPS6KB1	3	642.33	661.49	830.48
RPS6KB2	RPS6KB2	4	359.93	372.04	260.91
RPS6KC1	RPS6KC1	8	485.95	553.52	455.41
RPS7	RPS7	1	6185.85	6459.72	7653.81
RPS8	RPS8	1	9186.37	9813.43	12561.37
RPS9	RPS9	2	4191.77	4275.47	5283.32
RPSA	RPSA	2	8258.97	8098.13	10319.04
RPTOR	RPTOR	1	129.45	112.99	115.59
RPUSD1	RPUSD1	3	106.66	119.54	132.08
RPUSD2	RPUSD2	1	53.25	48.67	50.53
RPUSD3	RPUSD3	1	62.84	59.69	50.73
RPUSD4	RPUSD4	2	177.37	194.96	247.02
RRAD	RRAD	2	1022.09	1473.45	1256.34
RRAGA	RRAGA	1	366.58	394.65	379.12
RRAGB	RRAGB	2	21.32	24.49	47.68
RRAGC	RRAGC	2	402.23	439.51	409.6
RRAGD	RRAGD	1	386.73	385.32	369.5
RRAS	RRAS	2	158.8	148.98	202.21
RRAS2	RRAS2	2	146.67	173.11	147.52
RRBP1	RRBP1	2	167.2	47.79	111.34
RREB1	RREB1	3	157.07	129.14	217.14
RRM1	RRM1	3	303.52	317.47	259.41
RRM2B	RRM2B	2	319.19	313.66	247.07
RRN3	RRN3	4	630.8	770.29	613.45
RRNAD1	RRNAD1	2	322.68	374.42	329.14
RRP1	RRP1	3	116.07	89.71	80.29
RRP12	RRP12	3	191.91	234.07	303.7
RRP15	RRP15	1	284.59	278.1	294.78
RRP1B	RRP1B	2	131.83	111.23	122.51
RRP7A	RRP7A	2	129.9	166.39	237.01
RRP8	RRP8	1	35.02	28.16	29.58
RRP9	RRP9	1	73.6	73.58	66.26
RRS1	RRS1	1	90.37	67.25	64.1
RSAD1	RSAD1	2	94.91	79.15	44.08
RSAD1_ACSF2	RSAD1_ACSF2	2	107.06	78.02	42.89
RSBN1	RSBN1	1	156.59	144.45	187.07
RSBN1L	RSBN1L	2	235.56	210.72	283.53
RSF1	RSF1	2	315.78	272.89	373.2
RSL1D1	RSL1D1	2	173.73	165.1	160.17
RSL24D1	RSL24D1	1	430.59	465.89	486.39
RSPO3	RSPO3	1	31.54	86.26	67.9
RSPRY1	RSPRY1	2	91.86	93.1	104.21
RSRC1	RSRC1	1	58.67	53.96	64.43
RSRC1_LOC113253632	RSRC1_LOC113253632	1	77.25	68.69	84.06
RSRC1_MLF1	RSRC1_MLF1	1	14.48	17.03	18.38
RSRC2	RSRC2	6	390.34	390.75	387.02
RSU1	RSU1	1	160.76	145.73	169.32
RTCA	RTCA	3	218.48	257.73	183.1
RTCB	RTCB	2	567.78	616.6	529.4
RTEL1	RTEL1	1	28.81	12.29	13.4
RTF1	RTF1	1	482.01	483.44	471.6
RTF2	RTF2	2	235.51	251.56	215.68
RTKN	RTKN	1	25.2	37.21	31.2
RTL10	RTL10	1	8.22	13.25	28.6
RTL5	RTL5	1	128.88	102.01	135.7
RTL6	RTL6	3	384.23	413.29	435.66
RTN2	RTN2	3	1783.77	1808.54	1938.35
RTN3	RTN3	2	193.94	144.39	180.32
RTN4	RTN4	8	5419.55	5609.46	5130.14
RTN4IP1	RTN4IP1	3	360.75	488.37	291.39
RTRAF	RTRAF	1	1204.19	1304.86	1409.48
RTTN	RTTN	1	28.08	32.66	32.37
RUBCN	RUBCN	1	37.46	26.54	40.19
RUFY1	RUFY1	1	155.53	136.1	157.51
RUFY2	RUFY2	2	39.18	46.01	35.49
RUFY3	RUFY3	4	373.87	359.03	432.46
RUNDC1	RUNDC1	2	37.59	44.58	56.13
RUNDC3B	RUNDC3B	3	66.37	65.32	91.35
RUNX1	RUNX1	1	23.7	8.36	24.09
RUNX1T1	RUNX1T1	2	35.84	23.2	29.58
RUSC1	RUSC1	2	103.31	78.23	88.89
RUSC2	RUSC2	5	432.67	382.44	264.41
RUVBL1	RUVBL1	1	333.74	337.12	318.07
RUVBL2	RUVBL2	1	124.69	141.73	137.46
RWDD2A	RWDD2A	1	17.54	21.69	14.87
RWDD2B	RWDD2B	1	59.13	53.6	52.6
RWDD3	RWDD3	1	27.15	22.74	14.55
RWDD4	RWDD4	3	408.58	475.35	404.63
RXRA	RXRA	2	1015.18	880.26	897.91
RXRB	RXRB	4	189.94	212.48	238.18
RXRG	RXRG	4	292.35	298.2	398.02
RXYLT1	RXYLT1	1	47.1	52.51	27.83
RYBP	RYBP	1	109.27	85.89	107.74
RYK	RYK	2	340.9	310.87	300.21
RYR1	RYR1	2	42839.39	32860.26	40293.75
RYR2	RYR2	1	22.17	10.51	21.62
RYR3	RYR3	1	66.56	157.0	83.51
S100A1	S100A1	1	2784.18	3352.4	3084.38
S100A10	S100A10	1	880.34	657.19	547.05
S100A11	S100A11	1	146.96	101.07	141.79
S100A13	S100A13	3	236.87	201.05	256.3
S100A16	S100A16	2	268.94	248.57	224.19
S100A4	S100A4	1	244.96	83.74	268.03
S100A6	S100A6	1	448.65	263.75	598.31
S100B	S100B	1	27.57	7.88	40.03
S1PR1	S1PR1	2	216.46	155.37	128.78
S1PR2	S1PR2	1	22.11	16.4	21.88
SAAL1	SAAL1	1	116.46	100.48	95.73
SAC3D1	SAC3D1	1	22.2	17.59	24.7
SACM1L	SACM1L	1	53.18	46.42	48.43
SACS	SACS	2	1498.54	2575.91	1491.46
SAE1	SAE1	1	158.43	140.47	160.41
SAFB	SAFB	5	208.06	191.78	265.01
SAFB2	SAFB2	1	85.02	82.04	85.69
SAMD1	SAMD1	2	70.51	56.04	54.08
SAMD11	SAMD11	3	399.12	304.21	180.95
SAMD4A	SAMD4A	2	1187.43	1174.29	1463.9
SAMD4B	SAMD4B	2	69.25	61.58	78.02
SAMD8	SAMD8	1	92.03	101.67	114.08
SAMD9L	SAMD9L	2	88.95	55.54	85.05
SAMHD1	SAMHD1	2	126.52	83.14	43.91
SAMM50	SAMM50	3	932.91	1054.23	707.75
SAP130	SAP130	1	18.86	6.7	16.75
SAP18	SAP18	3	408.42	456.76	499.55
SAP30	SAP30	1	50.24	44.55	45.15
SAP30BP	SAP30BP	1	73.59	68.31	62.34
SAP30L	SAP30L	1	489.29	498.32	498.99
SAR1A	SAR1A	2	1017.37	1049.46	1013.39
SAR1B	SAR1B	4	1629.88	1880.8	1599.66
SARAF	SARAF	5	1193.81	1279.53	1274.89
SARDH	SARDH	1	27.21	71.49	39.22
SARNP	SARNP	1	95.96	100.47	110.34
SARS	SARS	2	928.58	956.32	1260.19
SARS2	SARS2	1	70.52	77.9	61.63
SART1	SART1	1	255.05	231.68	293.43
SART3	SART3	3	153.31	159.46	149.65
SASH1	SASH1	5	290.11	240.74	297.6
SAT1	SAT1	1	18.89	14.31	18.38
SAT2	SAT2	2	100.63	127.78	156.6
SATB1	SATB1	2	73.6	47.04	78.52
SAV1	SAV1	2	213.85	220.56	213.78
SBDS	SBDS	3	763.95	1030.3	722.25
SBF1	SBF1	1	589.3	610.85	473.5
SBF2	SBF2	3	323.11	274.51	299.97
SBK1	SBK1	1	148.35	178.45	217.54
SBK2	SBK2	2	135.19	102.81	72.26
SBK3	SBK3	1	84.89	129.38	79.47
SBNO1	SBNO1	3	319.44	307.43	317.62
SBNO2	SBNO2	1	48.81	32.77	50.67
SC5D	SC5D	2	84.95	83.3	88.55
SCAF1	SCAF1	2	100.88	87.07	118.6
SCAF11	SCAF11	8	667.94	650.19	769.13
SCAF4	SCAF4	2	68.04	66.11	87.03
SCAF8	SCAF8	4	505.67	444.3	564.77
SCAI	SCAI	1	20.94	22.07	28.71
SCAMP1	SCAMP1	1	216.53	256.45	247.09
SCAMP2	SCAMP2	2	227.94	243.13	286.34
SCAMP3	SCAMP3	1	219.09	218.48	239.32
SCAMP4	SCAMP4	1	87.35	62.52	54.88
SCAND1	SCAND1	1	109.59	107.45	122.4
SCAP	SCAP	1	177.43	181.37	173.73
SCARA3	SCARA3	2	165.5	49.48	110.06
SCARA5	SCARA5	3	333.07	215.39	280.66
SCARB1	SCARB1	1	24.66	8.99	27.21
SCARB2	SCARB2	2	1818.77	1610.82	1753.17
SCARF1	SCARF1	4	78.04	65.86	75.95
SCARF2	SCARF2	1	23.59	10.55	14.21
SCCPDH	SCCPDH	2	476.8	636.31	521.33
SCD	SCD	2	750.82	211.16	113.87
SCEL	SCEL	1	33.42	33.78	50.66
SCFD1	SCFD1	2	93.41	94.25	65.33
SCFD2	SCFD2	1	64.98	57.18	53.17
SCHIP1	SCHIP1	3	1047.45	927.87	935.05
SCIN	SCIN	1	45.94	18.43	32.63
SCLY	SCLY	4	224.05	197.61	172.48
SCMH1	SCMH1	4	223.58	223.75	244.61
SCN1B	SCN1B	3	756.61	699.4	771.31
SCN3B	SCN3B	1	6.86	9.0	36.73
SCN4A	SCN4A	2	1006.46	845.24	1025.6
SCN4B	SCN4B	2	3872.71	4735.14	2951.31
SCN7A	SCN7A	1	27.61	22.81	28.82
SCNM1	SCNM1	1	452.82	542.9	578.37
SCOC	SCOC	2	184.39	220.14	169.46
SCP2	SCP2	5	2484.98	3616.05	2022.3
SCPEP1	SCPEP1	2	109.03	70.29	63.73
SCRIB	SCRIB	4	320.32	282.42	236.16
SCRN1	SCRN1	1	18.14	15.34	21.18
SCRN2	SCRN2	1	55.94	56.3	46.07
SCRN3	SCRN3	3	205.68	219.95	157.22
SCUBE2	SCUBE2	2	63.27	28.68	62.57
SCX	SCX	1	40.93	36.0	19.37
SCYL1	SCYL1	3	249.43	279.8	256.33
SCYL2	SCYL2	4	425.42	483.02	402.79
SCYL3	SCYL3	1	65.88	61.09	75.62
SDAD1	SDAD1	4	265.56	218.84	327.91
SDC2	SDC2	3	422.23	367.6	512.94
SDC3	SDC3	1	57.93	37.5	37.7
SDC4	SDC4	1	162.13	203.79	215.34
SDCBP	SDCBP	3	355.17	323.79	327.48
SDCCAG8	SDCCAG8	3	60.94	63.17	33.57
SDE2	SDE2	2	104.54	103.88	98.44
SDF2	SDF2	1	110.52	106.56	121.29
SDF4	SDF4	1	312.74	374.76	313.88
SDHA	SDHA	9	6823.23	7318.94	5034.99
SDHAF1	SDHAF1	1	111.87	124.21	121.56
SDHAF2	SDHAF2	2	184.45	210.67	159.38
SDHAF3	SDHAF3	2	229.19	244.87	246.26
SDHAF4	SDHAF4	2	134.7	163.81	153.6
SDHB	SDHB	1	3528.56	4417.78	2412.04
SDHC	SDHC	3	3917.0	4382.09	2773.73
SDHD	SDHD	7	2961.87	3100.85	2256.47
SDK1	SDK1	2	90.42	40.48	77.59
SDK2	SDK2	1	28.96	5.42	10.56
SDR39U1	SDR39U1	4	173.64	186.17	164.87
SDR42E1	SDR42E1	1	53.28	94.67	56.61
SEC11A	SEC11A	1	101.2	89.01	92.45
