#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
FAM208B	FAM208B	Not DIU	0.091874	NO		706.87	801.58	960.69
FAM20A	FAM20A	Not DIU	0.29107	YES	3	44.77	25.29	22.18
FAM20B	FAM20B	Not DIU	0.98593	NO		647.56	880.46	842.27
FAM210B	FAM210B	Not DIU	0.10419	NO		1612.24	1364.78	1320.18
FAM214A	FAM214A	Not DIU	0.80446	NO		710.44	795.79	799.17
FAM214B	FAM214B	Not DIU	0.31207	YES	3	151.0	132.85	207.28
FAM219A	FAM219A	DIU	0.0085965	NO		217.7	204.71	261.3
FAM219B	FAM219B	Not DIU	0.58732	NO		433.52	464.43	520.38
FAM222B	FAM222B	Not DIU	0.52543	NO		50.68	52.54	81.44
FAM227B	FAM227B	Not DIU	0.657	YES	1	30.34	30.78	16.04
FAM234A	FAM234A	Not DIU	0.62789	NO		199.69	157.89	135.64
FAM234B	FAM234B	Not DIU	0.085223	NO		212.8	189.35	172.8
FAM241B	FAM241B	Not DIU	0.26297	NO		35.72	31.15	56.88
FAM3A	FAM3A	DIU	1.5818E-6	NO		281.15	273.88	307.14
FAM3C	FAM3C	Not DIU	0.16046	NO		423.0	563.98	635.94
FAM45A	FAM45A	DIU	1.3696E-4	NO		1038.88	1032.29	834.45
FAM49A	FAM49A	Not DIU	0.88788	NO		179.57	237.95	128.23
FAM49B	FAM49B	Not DIU	0.3855	NO		932.94	606.37	327.81
FAM53A	FAM53A	DIU	2.9477E-4	NO		187.73	189.73	206.81
FAM53C	FAM53C	Not DIU	0.79155	YES	2	257.38	250.95	227.51
FAM57A	FAM57A	Not DIU	0.15562	YES	3	99.3	48.75	58.11
FAM76A	FAM76A	Not DIU	0.146	YES	3	408.28	377.59	425.49
FAM76B	FAM76B	Not DIU	0.66663	NO		169.73	186.97	257.79
FAM81A	FAM81A	Not DIU	0.092863	NO		121.97	135.52	134.23
FAM83A	FAM83A	Not DIU	0.9165	NO		408.07	156.36	68.63
FAM83H	FAM83H	Not DIU	0.31207	YES	3	370.27	270.64	363.76
FAM91A1	FAM91A1	DIU	0.01296	NO		822.8	746.85	647.48
FAM92A	FAM92A	Not DIU	0.36928	NO		252.82	236.02	229.77
FAM98A	FAM98A	Not DIU	0.41258	NO		369.95	355.05	298.81
FAN1	FAN1	DIU	5.8777E-7	NO		482.06	401.61	337.22
FANCA	FANCA	Not DIU	0.33527	NO		112.98	89.26	138.35
FANCC	FANCC	DIU	0.048057	NO		69.78	59.94	49.51
FANCE	FANCE	Not DIU	0.92225	NO		98.28	78.04	105.75
FANCG	FANCG	Not DIU	0.7526	NO		78.75	84.03	91.06
FANCI	FANCI	Not DIU	0.066235	YES	2	85.47	72.36	118.25
FANCL	FANCL	Not DIU	0.44304	NO		203.06	215.29	204.64
FANK1	FANK1	Not DIU	0.59278	NO		22.39	48.64	19.64
FAP	FAP	DIU	0.006643	NO		1474.43	1467.52	1181.67
FAR1	FAR1	DIU	1.0408E-4	YES	1	937.7	910.43	804.29
FAR2	FAR2	Not DIU	0.065517	NO		183.27	205.37	135.71
FARP1	FARP1	DIU	0.017313	NO		386.05	344.63	457.27
FARP2	FARP2	Not DIU	0.21447	NO		306.72	346.87	420.29
FARS2	FARS2	Not DIU	0.23806	NO		367.88	282.26	197.86
FARSB	FARSB	Not DIU	0.50915	YES	2	821.68	672.52	654.37
FAS	FAS	DIU	0.015172	NO		70.86	69.05	79.92
FASTK	FASTK	DIU	0.0029588	YES	2	437.92	281.62	306.81
FASTKD1	FASTKD1	Not DIU	0.89062	YES	2,3	168.89	144.08	111.78
FASTKD2	FASTKD2	Not DIU	0.15849	YES	1	271.8	219.99	261.4
FASTKD5	FASTKD5	Not DIU	0.63045	NO		138.4	106.99	124.22
FAT1	FAT1	Not DIU	0.402	NO		9350.99	10328.24	10150.33
FAT4	FAT4	Not DIU	0.55917	NO		1940.32	1811.19	1395.52
FAXC	FAXC	Not DIU	0.75045	YES	1	288.67	386.42	359.42
FAXDC2	FAXDC2	DIU	4.5476E-26	NO		1015.17	1128.35	757.33
FBF1	FBF1	Not DIU	0.31415	NO		64.21	90.59	108.42
FBH1	FBH1	Not DIU	0.97873	NO		443.43	408.33	510.9
FBLIM1	FBLIM1	Not DIU	0.14329	YES	2	109.09	100.06	134.43
FBLL1	FBLL1	Not DIU	0.82228	YES	2	2.93	5.64	32.99
FBLN1	FBLN1	Not DIU	0.21999	NO		3376.96	4432.54	3664.3
FBLN2	FBLN2	Not DIU	0.99937	NO		7576.36	6832.98	4204.83
FBLN5	FBLN5	DIU	0.0090104	NO		613.25	938.01	547.25
FBLN7	FBLN7	Not DIU	0.70551	YES	1	196.56	193.25	139.74
FBN2	FBN2	Not DIU	0.82973	NO		57.28	64.13	34.84
FBP1	FBP1	Not DIU	0.98304	NO		39.86	26.75	29.52
FBXL17	FBXL17	Not DIU	0.30571	NO		373.03	408.97	444.86
FBXL19	FBXL19	Not DIU	0.18764	NO		44.15	51.57	58.9
FBXL2	FBXL2	Not DIU	0.064183	NO		61.12	89.65	152.82
FBXL3	FBXL3	Not DIU	0.45406	NO		707.6	678.7	634.52
FBXL4	FBXL4	Not DIU	0.44705	NO		616.61	728.28	530.25
FBXL5	FBXL5	DIU	2.4712E-4	NO		4825.26	7594.93	6335.04
FBXO11	FBXO11	Not DIU	0.63063	NO		743.78	860.46	914.7
FBXO17	FBXO17	DIU	7.7932E-5	NO		175.11	145.42	101.89
FBXO21	FBXO21	DIU	0.0098904	YES	2,3	833.39	990.45	972.57
FBXO25	FBXO25	DIU	4.6523E-8	NO		445.53	476.5	585.85
FBXO27	FBXO27	DIU	0.042905	YES	3	85.07	121.45	142.42
FBXO3	FBXO3	DIU	3.164E-4	NO		1285.73	1240.92	905.61
FBXO31	FBXO31	DIU	4.5329E-4	YES	3	762.32	700.05	701.4
FBXO32	FBXO32	DIU	0.016708	NO		503.46	651.83	499.05
FBXO34	FBXO34	Not DIU	0.59379	NO		361.95	399.59	352.33
FBXO36	FBXO36	DIU	0.021288	NO		15.25	24.18	38.55
FBXO38	FBXO38	Not DIU	0.6605	NO		662.17	580.73	697.03
FBXO4	FBXO4	Not DIU	0.50172	YES	2	134.88	143.3	130.36
FBXO42	FBXO42	DIU	0.038613	NO		306.0	273.87	264.96
FBXO46	FBXO46	Not DIU	0.927	NO		52.67	56.79	61.11
FBXO47	FBXO47	Not DIU	0.40578	YES	2	74.93	105.26	61.48
FBXO6	FBXO6	Not DIU	0.47045	YES	2	259.79	290.63	398.93
FBXO7	FBXO7	DIU	0.028177	YES	3	249.51	261.29	258.7
FBXO8	FBXO8	Not DIU	0.93046	NO		344.2	265.07	273.8
FBXO9	FBXO9	DIU	0.011614	YES	2	888.6	787.44	859.22
FBXW11	FBXW11	Not DIU	0.072142	YES	3	679.35	716.16	726.48
FBXW12	FBXW12	Not DIU	0.74489	NO		343.39	281.58	232.05
FBXW2	FBXW2	Not DIU	0.78158	YES	1,2	979.5	1054.0	1131.58
FBXW4	FBXW4	DIU	1.2559E-4	NO		147.36	165.48	144.76
FBXW7	FBXW7	Not DIU	0.8499	NO		301.28	313.54	313.49
FBXW9	FBXW9	DIU	0.0036487	YES	1,3	85.56	52.98	84.48
FCER2	FCER2	Not DIU	0.20643	YES	2	48.51	59.34	33.47
FCF1	FCF1	Not DIU	0.94939	NO		243.29	242.34	286.07
FCGR2B	FCGR2B	DIU	2.3013E-5	NO		789.98	878.99	702.86
FCHSD1	FCHSD1	Not DIU	0.30127	YES	1	153.18	176.2	182.08
FCHSD2	FCHSD2	DIU	2.8547E-5	NO		407.68	346.39	287.88
FDFT1	FDFT1	Not DIU	0.10112	YES	3	619.08	635.47	500.92
FDPS	FDPS	DIU	4.1021E-10	NO		690.27	363.07	205.28
FDX1	FDX1	Not DIU	0.59342	YES	2	208.37	158.31	104.39
FECH	FECH	DIU	2.4348E-7	NO		610.62	527.42	549.19
FEM1B	FEM1B	Not DIU	0.13984	NO		886.24	832.77	565.21
FEM1C	FEM1C	Not DIU	0.33036	NO		380.36	436.47	390.71
FERMT2	FERMT2	DIU	2.0799E-5	NO		7728.78	9987.15	6765.01
FES	FES	DIU	0.002066	YES	1,2	181.02	153.15	190.74
FEZ2	FEZ2	DIU	2.8719E-5	NO		422.94	317.64	261.22
FGD3	FGD3	Not DIU	0.78205	YES	3	86.52	107.86	105.83
FGD5	FGD5	Not DIU	0.74868	NO		817.9	829.68	832.83
FGF1	FGF1	Not DIU	0.99521	NO		249.0	401.4	326.12
FGF13	FGF13	Not DIU	0.32545	YES	1	120.66	234.83	200.32
FGF7	FGF7	Not DIU	0.31498	YES	1	256.38	266.9	309.65
FGFBP1	FGFBP1	DIU	1.5613E-4	YES	3	676.78	302.72	53.48
FGFR1	FGFR1	DIU	4.4288E-6	YES	1	2209.15	2396.27	2512.12
FGFR1OP	FGFR1OP	DIU	0.0038614	YES	1	109.18	120.55	124.38
FGFR1OP2	FGFR1OP2	Not DIU	0.40296	YES	1	370.08	367.77	358.61
FGFRL1	FGFRL1	DIU	9.5278E-4	YES	3	54.36	70.23	102.92
FGGY	FGGY	Not DIU	0.15396	NO		967.57	935.09	767.32
FGL1	FGL1	Not DIU	0.7948	NO		66.45	64.94	52.54
FGR	FGR	Not DIU	0.96427	YES	2,3	53.99	54.94	59.84
FHIT	FHIT	Not DIU	0.86158	YES	2	43.71	34.97	19.61
FHL1	FHL1	DIU	5.0032E-8	YES	3	13621.82	28111.4	20662.73
FHL3	FHL3	Not DIU	0.088127	YES	2,3	52.54	50.71	59.39
FHL5	FHL5	Not DIU	0.5511	YES	1	498.57	588.98	412.55
FHOD1	FHOD1	DIU	0.0012724	NO		239.17	267.35	399.19
FHOD3	FHOD3	DIU	0.009152	NO		10.47	32.09	44.4
FICD	FICD	Not DIU	0.64916	NO		56.62	75.73	57.47
FIG4	FIG4	Not DIU	0.2291	NO		358.45	306.5	218.74
FILIP1	FILIP1	Not DIU	0.80446	NO		550.39	633.84	547.39
FILIP1L	FILIP1L	Not DIU	0.9116	NO		1328.97	1173.09	735.06
FILIP1L_LOC113250506	FILIP1L_LOC113250506	DIU	0.0036487	YES	3	160.13	214.17	79.8
FIP1L1	FIP1L1	Not DIU	0.93074	YES	2	467.62	464.93	457.21
FITM2	FITM2	Not DIU	0.85572	NO		1415.22	1239.3	752.11
FKBP14	FKBP14	Not DIU	0.89002	NO		186.4	151.72	110.62
FKBP15	FKBP15	Not DIU	0.43061	NO		435.98	403.13	365.38
