clusters.cut
TPH1	2
TRAF3	3
TRAPPC13	8
TRIM24	9
TRIM72	2
TRMO	9
TRPM4	9
TSNARE1	3
TSPAN9	9
TSPO	1
TSR1	6
TST	8
TTC36	2
TTLL3	3
TUBAL3	8
TUT4	3
TXN2	9
TXNDC15	8
TYRO3	8
UBAP1L	3
UBE2A	9
UBE2Q1	3
UBE4A	7
UBL4A	8
UBL7	8
UBQLN1	1
UBR2	7
UGGT2	9
UIMC1	3
UNK	6
URM1	9
UROD	9
USE1	8
USP5	7
UTP14A	9
UTP20	3
VASP	3
VCP	1
VDAC1	7
VDAC2	6
VEGFD	9
VMA21	9
VPS13B	1
VPS25	9
VWA8	9
WARS2	8
WASHC1	7
WBP1L	7
WDPCP	1
WDR11	9
WDR41	3
XDH	5
XPNPEP2	7
XPO6	3
YBX1	1
YBX3	7
YEATS4	8
YIF1B	8
YIPF4	9
YWHAG	1
YWHAQ	1
ZC2HC1B	2
ZC3H6	3
ZCCHC8	6
ZFP62	7
ZFP90	3
ZFYVE21	9
ZHX1	6
ZNF10	3
ZNF219	3
ZNF292	6
ZNF316	3
ZNF511	8
ZNF594	3
ZNF667	3
ZNF7	3
ZNF784	8
ZP1	8
novelGene_132	2
novelGene_2095	2
novelGene_2437	8
novelGene_2725	9
novelGene_28	2
novelGene_2882	8
novelGene_353	8
novelGene_552	2
novelGene_782	8
novelGene_84	8
novelGene_968	2
novelGene_974	9
novelGene_CAMK1D_AS	9
novelGene_LOC113259900_AS	7
novelGene_NAA15_AS	2
novelGene_POC1B_AS	8
novelGene_PPP3CC_AS	3
novelGene_TNS1_AS	9
